@relation movie-reviews

@attribute positive numeric
@attribute negative numeric
@attribute pleasur numeric
@attribute arousal numeric
@attribute pain numeric
@attribute virtue numeric
@attribute hostile numeric
@attribute class {POSITIVE,NEGATIVE}

@data
72,73,5,2,2,7,8,POSITIVE
83,36,2,1,4,16,5,POSITIVE
72,39,2,2,1,14,3,POSITIVE
148,108,1,6,3,19,13,POSITIVE
36,64,1,0,2,4,10,POSITIVE
154,40,0,2,0,20,4,POSITIVE
126,77,4,5,3,20,8,POSITIVE
92,34,10,1,2,12,2,POSITIVE
23,26,0,1,1,4,3,POSITIVE
39,33,0,0,0,2,4,POSITIVE
99,56,5,2,2,8,12,POSITIVE
126,58,4,2,2,15,5,POSITIVE
38,16,0,1,0,8,0,POSITIVE
33,21,0,1,0,6,2,POSITIVE
157,114,3,3,2,35,19,POSITIVE
99,46,6,2,0,16,3,POSITIVE
41,22,1,0,1,6,2,POSITIVE
180,86,5,4,0,29,16,POSITIVE
78,31,1,0,1,11,4,POSITIVE
56,13,3,2,0,7,4,POSITIVE
24,22,0,1,0,2,6,POSITIVE
110,55,4,1,0,18,6,POSITIVE
37,28,6,1,0,5,4,POSITIVE
121,62,5,9,2,23,9,POSITIVE
112,73,1,3,2,18,9,POSITIVE
63,38,6,1,0,6,6,POSITIVE
51,25,2,1,0,8,3,POSITIVE
243,136,1,0,5,51,19,POSITIVE
127,82,0,2,6,17,23,POSITIVE
120,93,0,6,1,18,8,POSITIVE
128,68,2,6,0,14,5,POSITIVE
181,40,7,1,2,23,4,POSITIVE
121,75,0,4,3,26,11,POSITIVE
150,76,2,9,2,19,8,POSITIVE
61,62,1,1,0,13,8,POSITIVE
85,15,0,2,0,12,1,POSITIVE
77,20,1,3,1,9,1,POSITIVE
106,46,4,4,0,12,6,POSITIVE
28,28,5,1,1,5,0,POSITIVE
106,24,3,2,0,15,6,POSITIVE
80,42,1,1,0,17,3,POSITIVE
113,96,2,5,8,27,23,POSITIVE
148,40,2,3,0,24,3,POSITIVE
100,20,1,6,1,14,6,POSITIVE
99,86,9,3,0,11,17,POSITIVE
117,51,0,2,1,17,7,POSITIVE
104,66,2,4,4,20,13,POSITIVE
95,49,3,1,5,11,8,POSITIVE
53,35,2,2,0,9,4,POSITIVE
32,26,0,0,0,10,3,POSITIVE
30,26,0,1,0,3,1,POSITIVE
127,40,4,3,0,16,5,POSITIVE
42,28,0,1,0,8,1,POSITIVE
85,92,2,5,8,11,19,POSITIVE
47,32,1,0,2,6,10,POSITIVE
115,39,4,4,2,20,10,POSITIVE
41,32,2,0,1,7,1,POSITIVE
29,5,0,0,0,7,0,POSITIVE
38,22,0,0,0,3,2,POSITIVE
95,53,2,3,2,18,5,POSITIVE
167,36,9,4,1,22,4,POSITIVE
85,77,2,1,2,15,7,POSITIVE
137,67,7,4,3,23,8,POSITIVE
33,21,5,1,0,3,1,POSITIVE
108,64,1,0,3,21,5,POSITIVE
127,65,1,2,3,19,3,POSITIVE
113,43,5,2,2,7,6,POSITIVE
67,52,1,7,0,11,6,POSITIVE
78,45,2,1,6,12,10,POSITIVE
105,29,0,1,3,13,4,POSITIVE
78,44,2,1,3,14,5,POSITIVE
154,64,8,0,0,29,5,POSITIVE
82,32,3,0,0,11,4,POSITIVE
55,53,0,5,5,9,13,POSITIVE
128,128,5,3,1,23,15,POSITIVE
44,27,0,2,0,6,3,POSITIVE
215,65,1,8,0,26,10,POSITIVE
76,31,6,1,0,12,3,POSITIVE
71,8,2,1,0,16,1,POSITIVE
43,45,3,5,4,6,6,POSITIVE
60,58,1,0,0,8,8,POSITIVE
89,23,3,1,1,12,4,POSITIVE
46,7,1,0,0,8,0,POSITIVE
161,64,9,4,0,34,4,POSITIVE
76,52,2,1,2,23,3,POSITIVE
76,85,1,3,2,10,7,POSITIVE
151,98,1,5,9,19,25,POSITIVE
94,41,0,11,3,13,2,POSITIVE
88,58,4,5,4,14,9,POSITIVE
56,19,0,1,2,8,7,POSITIVE
35,38,1,2,0,5,4,POSITIVE
55,32,3,6,0,11,5,POSITIVE
66,103,0,4,3,3,14,POSITIVE
56,18,3,5,0,10,5,POSITIVE
138,41,5,3,0,15,8,POSITIVE
84,34,1,1,1,10,3,POSITIVE
108,58,1,2,0,15,5,POSITIVE
68,71,4,1,3,6,7,POSITIVE
51,31,1,0,0,10,2,POSITIVE
78,94,0,4,3,18,6,POSITIVE
134,42,8,3,0,31,2,POSITIVE
136,54,8,4,2,22,5,POSITIVE
102,67,1,3,0,15,11,POSITIVE
127,45,8,4,0,22,2,POSITIVE
58,27,5,1,1,7,5,POSITIVE
125,144,1,4,8,19,23,POSITIVE
80,74,2,2,8,11,8,POSITIVE
73,99,2,0,1,8,15,POSITIVE
38,18,1,0,1,4,2,POSITIVE
103,97,2,2,3,14,11,POSITIVE
90,92,5,1,1,12,15,POSITIVE
34,15,2,0,0,5,2,POSITIVE
115,110,3,2,2,15,14,POSITIVE
59,84,1,1,3,12,11,POSITIVE
18,16,0,1,2,1,2,POSITIVE
194,80,11,7,1,24,11,POSITIVE
120,70,2,4,0,19,3,POSITIVE
100,31,3,6,4,12,5,POSITIVE
47,74,2,6,0,12,5,POSITIVE
41,10,0,1,1,9,2,POSITIVE
158,68,3,1,0,30,5,POSITIVE
158,42,14,5,5,21,6,POSITIVE
148,175,1,2,3,29,30,POSITIVE
169,110,3,2,6,25,4,POSITIVE
91,13,2,6,2,10,3,POSITIVE
80,54,1,3,3,13,7,POSITIVE
76,79,4,3,1,9,10,POSITIVE
76,47,1,0,2,7,10,POSITIVE
47,18,3,1,1,3,1,POSITIVE
78,8,4,0,0,11,1,POSITIVE
48,24,0,1,2,9,0,POSITIVE
90,95,4,3,3,16,6,POSITIVE
53,19,0,1,0,3,2,POSITIVE
31,55,0,1,2,3,10,POSITIVE
107,31,1,4,4,25,2,POSITIVE
94,39,2,0,2,18,6,POSITIVE
119,78,7,4,1,21,9,POSITIVE
71,18,7,1,0,4,2,POSITIVE
71,36,3,0,0,13,3,POSITIVE
41,23,2,0,2,4,3,POSITIVE
86,76,4,5,0,20,5,POSITIVE
77,111,5,0,2,14,10,POSITIVE
63,27,1,3,0,8,3,POSITIVE
148,53,9,4,0,16,6,POSITIVE
76,20,4,6,0,5,4,POSITIVE
38,12,6,0,1,4,3,POSITIVE
161,92,3,5,1,27,5,POSITIVE
129,18,0,7,1,16,3,POSITIVE
116,37,4,1,5,20,5,POSITIVE
66,29,0,2,0,6,7,POSITIVE
65,54,3,3,2,9,6,POSITIVE
81,29,0,2,0,10,5,POSITIVE
53,23,3,1,1,8,5,POSITIVE
115,49,5,4,4,22,5,POSITIVE
73,37,2,6,1,5,1,POSITIVE
101,45,0,3,0,11,9,POSITIVE
71,40,0,0,1,9,6,POSITIVE
39,24,1,2,0,6,1,POSITIVE
217,37,20,5,1,17,2,POSITIVE
55,32,1,4,1,8,3,POSITIVE
111,57,4,3,1,12,9,POSITIVE
21,0,0,0,0,7,0,POSITIVE
194,160,2,4,6,19,24,POSITIVE
247,62,4,3,2,35,8,POSITIVE
118,58,9,3,1,14,8,POSITIVE
72,70,1,4,9,14,5,POSITIVE
134,36,2,3,1,24,1,POSITIVE
136,55,5,1,3,8,8,POSITIVE
100,42,0,1,2,16,5,POSITIVE
181,58,7,3,4,27,6,POSITIVE
40,22,0,0,1,4,2,POSITIVE
118,43,4,1,0,18,4,POSITIVE
33,71,0,0,2,4,11,POSITIVE
35,52,0,6,2,6,11,POSITIVE
27,42,0,3,4,6,5,POSITIVE
53,35,0,1,1,12,4,POSITIVE
49,10,1,2,0,5,1,POSITIVE
84,79,1,5,2,14,9,POSITIVE
83,32,5,5,1,8,6,POSITIVE
55,47,2,3,5,10,2,POSITIVE
56,22,0,1,0,13,3,POSITIVE
77,26,0,1,0,17,3,POSITIVE
93,39,0,0,0,12,5,POSITIVE
48,57,1,1,0,13,3,POSITIVE
47,20,4,1,0,6,2,POSITIVE
57,63,2,0,0,10,11,POSITIVE
95,31,3,3,1,21,3,POSITIVE
70,53,1,4,1,10,4,POSITIVE
79,38,4,5,2,5,9,POSITIVE
77,24,1,0,0,14,0,POSITIVE
74,51,1,1,0,20,7,POSITIVE
93,19,8,2,1,7,2,POSITIVE
67,18,1,3,1,13,2,POSITIVE
37,35,1,0,1,7,3,POSITIVE
40,48,1,0,0,8,10,POSITIVE
73,36,0,6,2,14,5,POSITIVE
116,48,8,0,1,15,6,POSITIVE
45,25,0,0,0,6,2,POSITIVE
49,38,2,0,1,7,5,POSITIVE
136,35,2,2,0,21,3,POSITIVE
45,40,1,1,1,10,5,POSITIVE
71,50,3,1,2,7,2,POSITIVE
69,53,0,6,0,10,5,POSITIVE
128,63,2,4,2,12,7,POSITIVE
88,21,2,1,2,13,0,POSITIVE
102,15,0,3,1,12,2,POSITIVE
156,53,3,5,0,21,6,POSITIVE
52,39,1,2,6,7,2,POSITIVE
75,59,6,3,0,12,7,POSITIVE
50,44,1,1,0,8,4,POSITIVE
53,35,0,0,2,11,5,POSITIVE
159,123,1,7,6,26,11,POSITIVE
58,28,2,0,0,7,4,POSITIVE
18,14,0,0,0,2,1,POSITIVE
56,58,1,0,1,8,7,POSITIVE
58,56,0,4,9,10,7,POSITIVE
100,41,1,6,3,12,5,POSITIVE
63,7,3,2,1,4,0,POSITIVE
56,30,0,1,2,6,4,POSITIVE
